Filename,Result,Wall_Time
2024/sosylab/nla-digbench-scaling/lcm1_unwindbound2.btor2,unknown,0
2024/sosylab/nla-digbench-scaling/dijkstra-u_valuebound1.btor2,unknown,0
2024/sosylab/nla-digbench-scaling/egcd3-ll_unwindbound2.btor2,memout,0
2024/sosylab/nla-digbench-scaling/hard-ll_valuebound20.btor2,unknown,0
2024/sosylab/loop-invgen/up.btor2,unknown,0
2024/sosylab/eca-rers2012/Problem11_label26.btor2,unsat,1821.74
2024/sosylab/eca-rers2012/Problem02_label10.btor2,unsat,10.609
2024/sosylab/eca-rers2012/Problem10_label07.btor2,unsat,2.11057
2024/sosylab/eca-rers2012/Problem10_label08.btor2,unsat,1.63763
2024/sosylab/eca-rers2012/Problem19_label14.btor2,unknown,0
2024/sosylab/eca-rers2012/Problem19_label00.btor2,unknown,0
2024/sosylab/eca-rers2012/Problem07_label01.btor2,unsat,3316
2024/sosylab/eca-rers2012/Problem04_label27.btor2,sat,1507.21
2024/sosylab/eca-rers2012/Problem03_label51.btor2,unknown,0
2024/sosylab/eca-rers2012/Problem11_label40.btor2,unknown,0
2024/sosylab/eca-rers2012/Problem11_label48.btor2,unknown,0
2024/sosylab/eca-rers2012/Problem16_label07.btor2,unsat,1767.46
2024/sosylab/combinations/pc_sfifo_3.cil+token_ring.08.cil-2.btor2,memout,0
2024/sosylab/eca-rers2012/Problem19_label36.btor2,unknown,0
2024/sosylab/eca-rers2012/Problem18_label15.btor2,unknown,0
2024/sosylab/eca-rers2012/Problem17_label03.btor2,unknown,0
2024/sosylab/eca-rers2012/Problem13_label23.btor2,unknown,0
2024/sosylab/eca-rers2012/Problem06_label40.btor2,unknown,0
2024/sosylab/eca-rers2012/Problem06_label53.btor2,unknown,0
2024/sosylab/combinations/gcd_2+newton_3_7.btor2,sat,61.2484
2024/sosylab/combinations/pc_sfifo_3.cil+token_ring.04.cil-1.btor2,memout,0
2024/sosylab/combinations/pc_sfifo_2.cil-1+token_ring.13.cil-1.btor2,memout,0
2024/sosylab/combinations/gcd_4+newton_3_3.btor2,unknown,0
2024/sosylab/combinations/pc_sfifo_2.cil-1+token_ring.11.cil-2.btor2,memout,0
2024/sosylab/loop-invariants/bin-suffix-5.btor2,unsat,0.0151063
2024/sosylab/combinations/Problem05_label42+token_ring.08.cil-2.btor2,memout,0
2024/sosylab/combinations/Problem05_label46+token_ring.12.cil-1.btor2,memout,0
2024/sosylab/combinations/pc_sfifo_1.cil-2+token_ring.05.cil-2.btor2,memout,0
2024/sosylab/xcsp/AllInterval-019.btor2,sat,572.72
2024/sosylab/floats-cdfpl/newton_1_5.btor2,sat,8.57975
2024/sosylab/combinations/pals_lcr.5.1.ufo.UNBOUNDED.pals+Problem12_label04.btor2,unknown,0
2024/sosylab/combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label09.btor2,unknown,0
2024/yosyshq/appnote_123/veer/yosyshq_appnote_123_veer-p15.btor2,unsat,7.90903
2024/sosylab/combinations/pals_lcr.5_overflow.ufo.UNBOUNDED.pals+Problem12_label02.btor2,unknown,0
2024/sosylab/combinations/pals_lcr.5.ufo.BOUNDED-10.pals+Problem12_label02.btor2,unknown,0
2024/sosylab/float-benchs/zonotope_2.btor2,memout,0
2024/sosylab/float-benchs/sqrt_Newton_pseudoconstant.btor2,unknown,0
2024/yosyshq/appnote_123/veer_axi/yosyshq_appnote_123_veer_axi-p30.btor2,unsat,501.394
2024/yosyshq/appnote_123/veer_axi/yosyshq_appnote_123_veer_axi-p23.btor2,unsat,553.096
2024/sosylab/loops-crafted-1/mono-crafted_8.btor2,unknown,0
2024/yosyshq/appnote_123/veer_axi/yosyshq_appnote_123_veer_axi-p31.btor2,sat,33.9231
2024/sosylab/loop-crafted/simple_vardep_1.btor2,unknown,0
2024/sosylab/loop-new/gauss_sum.i.p+lhb-reducer.btor2,unknown,0
2024/yosyshq/appnote_123/veer_axi/yosyshq_appnote_123_veer_axi-p32.btor2,unsat,7.13537
2024/yosyshq/appnote_123/veer/yosyshq_appnote_123_veer-p28.btor2,memout,0
2024/yosyshq/appnote_123/cv32e40x/yosyshq_appnote_123_cv32e40x-p456.btor2,memout,0
