index,benchmark,outer_selects,outer_updates,fallback_selects,fallback_updates,fallback_arms,fallback_limits,reward_sum,nonzero_reward_updates,mab_lines
98,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_JALR_sanity.btor2,0,0,0,0,,,0,0,
99,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_LBU_sanity.btor2,0,0,0,0,,,0,0,
100,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_LH_sanity.btor2,0,0,0,0,,,0,0,
101,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_LUI_sanity.btor2,0,0,0,0,,,0,0,
102,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_LW_problem.btor2,0,0,0,0,,,0,0,
103,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_ORI_sanity.btor2,0,0,0,0,,,0,0,
104,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_SB_sanity.btor2,0,0,0,0,,,0,0,
105,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_SLLI_problem.btor2,0,0,0,0,,,0,0,
106,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_SLL_problem.btor2,0,0,0,0,,,0,0,
107,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_SLTI_problem.btor2,0,0,0,0,,,0,0,
108,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_SLT_sanity.btor2,0,0,0,0,,,0,0,
109,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_SRL_sanity.btor2,0,0,0,0,,,0,0,
110,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_SW_problem.btor2,0,0,0,0,,,0,0,
111,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_XORI_sanity.btor2,0,0,0,0,,,0,0,
112,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Ridecore_BLTU_problem.btor2,0,0,0,0,,,0,0,
113,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Ridecore_LB_problem.btor2,0,0,0,0,,,0,0,
114,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Ridecore_LUI_problem.btor2,0,0,0,0,,,0,0,
115,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Ridecore_ORI_problem.btor2,0,0,0,0,,,0,0,
