index,benchmark,baseline_result,baseline_solved,baseline_timed_out,baseline_wall_seconds,baseline_par2,old_final_result,old_final_solved,old_final_timed_out,old_final_wall_seconds,old_final_par2,new_mab_result,new_mab_solved,new_mab_timed_out,new_mab_wall_seconds,new_mab_par2,new_vs_baseline_par2_delta,new_vs_old_final_par2_delta,visible_packet_selections,visible_packet_updates,visible_censored
83,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_LHU_sanity.btor2,missing,False,True,1000.3843378890306,2000.0,missing,False,True,1000.1655505001545,2000.0,missing,False,True,1000.1980448132381,2000.0,0.0,0.0,,,0
84,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_OR_sanity.btor2,missing,False,True,1000.395937256515,2000.0,missing,False,True,1000.1657722704113,2000.0,missing,False,True,1000.2033881377429,2000.0,0.0,0.0,,,0
85,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SB_problem.btor2,missing,False,True,1000.366766599007,2000.0,missing,False,True,1000.1670356467366,2000.0,missing,False,True,1000.1688346099108,2000.0,0.0,0.0,,,0
86,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SH_problem.btor2,missing,False,True,1000.3759294273332,2000.0,missing,False,True,1000.1625798447058,2000.0,missing,False,True,1000.2047016946599,2000.0,0.0,0.0,,,0
87,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SH_sanity.btor2,missing,False,True,1000.3990586865693,2000.0,missing,False,True,1000.1674306346104,2000.0,missing,False,True,1000.2010320611298,2000.0,0.0,0.0,,,0
88,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SLLI_sanity.btor2,missing,False,True,1000.3935300130397,2000.0,missing,False,True,1000.1682810811326,2000.0,missing,False,True,1000.1703046038747,2000.0,0.0,0.0,,,0
89,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SLTI_problem.btor2,missing,False,True,1000.3818695945665,2000.0,missing,False,True,1000.1681630024686,2000.0,missing,False,True,1000.1911929780617,2000.0,0.0,0.0,,,0
90,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SLTI_sanity.btor2,missing,False,True,1000.3915579915047,2000.0,missing,False,True,1000.1233559343964,2000.0,missing,False,True,1000.2023847028613,2000.0,0.0,0.0,,,0
91,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SRAI_problem.btor2,missing,False,True,1000.3733861315995,2000.0,missing,False,True,1000.1257424708456,2000.0,missing,False,True,1000.1330469157547,2000.0,0.0,0.0,,,0
92,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SUB_problem.btor2,missing,False,True,1000.3792366469279,2000.0,missing,False,True,1000.1306840330362,2000.0,missing,False,True,1000.1238617440686,2000.0,0.0,0.0,,,0
93,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SW_sanity.btor2,missing,False,True,1000.4076138669625,2000.0,missing,False,True,1000.1243646945804,2000.0,missing,False,True,1000.1268507195637,2000.0,0.0,0.0,,,0
94,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_XORI_problem.btor2,missing,False,True,1000.3874300578609,2000.0,missing,False,True,1000.1237106816843,2000.0,missing,False,True,1000.1225441498682,2000.0,0.0,0.0,,,0
95,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_ADD_sanity.btor2,missing,False,True,1000.3835873454809,2000.0,missing,False,True,1000.1251770639792,2000.0,missing,False,True,1000.1229030182585,2000.0,0.0,0.0,,,0
96,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_BNE_sanity.btor2,missing,False,True,1000.3809943515807,2000.0,missing,False,True,1000.1317163668573,2000.0,missing,False,True,1000.1286298753694,2000.0,0.0,0.0,,,0
